Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI
2014,1,1,0,0,0,0,0,0,0,0
2014,1,1,0,30,0,0,0,0,0,0
2014,1,1,1,0,0,0,0,0,0,0
2014,1,1,1,30,0,0,0,0,0,0
2014,1,1,2,0,0,0,0,0,0,0
2014,1,1,2,30,0,0,0,0,0,0
2014,1,1,3,0,0,0,0,0,0,0
2014,1,1,3,30,0,0,0,0,0,0
2014,1,1,4,0,0,0,0,0,0,0
2014,1,1,4,30,0,0,0,0,0,0
2014,1,1,5,0,0,0,0,0,0,0
2014,1,1,5,30,0,0,0,0,0,0
2014,1,1,6,0,0,0,0,0,0,0
2014,1,1,6,30,0,0,0,0,0,0
2014,1,1,7,0,0,0,0,0,0,0
2014,1,1,7,30,12,141,16,12,141,16
2014,1,1,8,0,39,393,81,39,393,81
2014,1,1,8,30,51,583,156,51,583,156
2014,1,1,9,0,60,692,229,60,692,229
2014,1,1,9,30,67,761,294,67,761,294
2014,1,1,10,0,72,806,349,72,806,349
2014,1,1,10,30,75,836,392,75,836,392
2014,1,1,11,0,77,854,422,77,854,422
2014,1,1,11,30,78,863,437,173,250,277
2014,1,1,12,0,78,863,438,78,863,438
2014,1,1,12,30,77,855,425,77,855,425
2014,1,1,13,0,74,839,397,74,839,397
2014,1,1,13,30,71,812,356,71,812,356
2014,1,1,14,0,65,774,304,126,145,171
2014,1,1,14,30,58,721,242,92,276,163
2014,1,1,15,0,47,652,173,75,216,116
2014,1,1,15,30,41,500,102,49,161,69
2014,1,1,16,0,0,0,0,0,0,0
2014,1,1,16,30,0,0,0,0,0,0
2014,1,1,17,0,0,0,0,0,0,0
2014,1,1,17,30,0,0,0,0,0,0
2014,1,1,18,0,0,0,0,0,0,0
2014,1,1,18,30,0,0,0,0,0,0
2014,1,1,19,0,0,0,0,0,0,0
2014,1,1,19,30,0,0,0,0,0,0
2014,1,1,20,0,0,0,0,0,0,0
2014,1,1,20,30,0,0,0,0,0,0
2014,1,1,21,0,0,0,0,0,0,0
2014,1,1,21,30,0,0,0,0,0,0
2014,1,1,22,0,0,0,0,0,0,0
2014,1,1,22,30,0,0,0,0,0,0
2014,1,1,23,0,0,0,0,0,0,0
2014,1,1,23,30,0,0,0,0,0,0
2014,1,2,0,0,0,0,0,0,0,0
2014,1,2,0,30,0,0,0,0,0,0
2014,1,2,1,0,0,0,0,0,0,0
2014,1,2,1,30,0,0,0,0,0,0
2014,1,2,2,0,0,0,0,0,0,0
2014,1,2,2,30,0,0,0,0,0,0
2014,1,2,3,0,0,0,0,0,0,0
2014,1,2,3,30,0,0,0,0,0,0
2014,1,2,4,0,0,0,0,0,0,0
2014,1,2,4,30,0,0,0,0,0,0
2014,1,2,5,0,0,0,0,0,0,0
2014,1,2,5,30,0,0,0,0,0,0
2014,1,2,6,0,0,0,0,0,0,0
2014,1,2,6,30,0,0,0,0,0,0
2014,1,2,7,0,0,0,0,0,0,0
2014,1,2,7,30,11,123,15,8,5,8
2014,1,2,8,0,37,358,76,36,51,42
2014,1,2,8,30,50,540,147,66,125,89
2014,1,2,9,0,59,647,216,16,0,16
2014,1,2,9,30,65,716,279,21,0,21
2014,1,2,10,0,70,762,333,48,0,48
2014,1,2,10,30,74,793,375,71,0,71
2014,1,2,11,0,76,813,405,54,0,54
2014,1,2,11,30,77,824,421,19,0,19
2014,1,2,12,0,77,826,423,77,0,77
2014,1,2,12,30,76,821,411,62,0,62
2014,1,2,13,0,73,807,385,107,0,107
2014,1,2,13,30,70,782,347,75,0,75
2014,1,2,14,0,65,746,297,37,0,37
2014,1,2,14,30,57,695,236,49,0,49
2014,1,2,15,0,47,626,169,38,0,38
2014,1,2,15,30,27,580,100,23,0,23
2014,1,2,16,0,0,0,0,0,0,0
2014,1,2,16,30,0,0,0,0,0,0
2014,1,2,17,0,0,0,0,0,0,0
2014,1,2,17,30,0,0,0,0,0,0
2014,1,2,18,0,0,0,0,0,0,0
2014,1,2,18,30,0,0,0,0,0,0
2014,1,2,19,0,0,0,0,0,0,0
2014,1,2,19,30,0,0,0,0,0,0
2014,1,2,20,0,0,0,0,0,0,0
2014,1,2,20,30,0,0,0,0,0,0
2014,1,2,21,0,0,0,0,0,0,0
2014,1,2,21,30,0,0,0,0,0,0
2014,1,2,22,0,0,0,0,0,0,0
2014,1,2,22,30,0,0,0,0,0,0
2014,1,2,23,0,0,0,0,0,0,0
2014,1,2,23,30,0,0,0,0,0,0
2014,1,3,0,0,0,0,0,0,0,0
2014,1,3,0,30,0,0,0,0,0,0
2014,1,3,1,0,0,0,0,0,0,0
2014,1,3,1,30,0,0,0,0,0,0
2014,1,3,2,0,0,0,0,0,0,0
2014,1,3,2,30,0,0,0,0,0,0
2014,1,3,3,0,0,0,0,0,0,0
2014,1,3,3,30,0,0,0,0,0,0
2014,1,3,4,0,0,0,0,0,0,0
2014,1,3,4,30,0,0,0,0,0,0
2014,1,3,5,0,0,0,0,0,0,0
2014,1,3,5,30,0,0,0,0,0,0
2014,1,3,6,0,0,0,0,0,0,0
2014,1,3,6,30,0,0,0,0,0,0
2014,1,3,7,0,0,0,0,0,0,0
2014,1,3,7,30,11,130,15,3,0,3
2014,1,3,8,0,38,375,79,18,0,18
2014,1,3,8,30,51,564,152,25,0,25
2014,1,3,9,0,60,674,224,95,78,114
2014,1,3,9,30,66,745,289,66,745,289
2014,1,3,10,0,71,793,345,71,793,345
2014,1,3,10,30,75,826,389,75,826,389
2014,1,3,11,0,77,846,420,77,846,420
2014,1,3,11,30,78,858,437,78,858,437
2014,1,3,12,0,78,861,440,78,861,440
2014,1,3,12,30,77,857,429,77,857,429
2014,1,3,13,0,75,844,403,75,844,403
2014,1,3,13,30,71,823,364,71,823,364
2014,1,3,14,0,66,790,313,66,790,313
2014,1,3,14,30,59,745,252,59,745,252
2014,1,3,15,0,48,685,184,48,685,184
2014,1,3,15,30,28,655,112,28,655,112
2014,1,3,16,0,0,0,0,0,0,0
2014,1,3,16,30,0,0,0,0,0,0
2014,1,3,17,0,0,0,0,0,0,0
2014,1,3,17,30,0,0,0,0,0,0
2014,1,3,18,0,0,0,0,0,0,0
2014,1,3,18,30,0,0,0,0,0,0
2014,1,3,19,0,0,0,0,0,0,0
2014,1,3,19,30,0,0,0,0,0,0
2014,1,3,20,0,0,0,0,0,0,0
2014,1,3,20,30,0,0,0,0,0,0
2014,1,3,21,0,0,0,0,0,0,0
2014,1,3,21,30,0,0,0,0,0,0
2014,1,3,22,0,0,0,0,0,0,0
2014,1,3,22,30,0,0,0,0,0,0
2014,1,3,23,0,0,0,0,0,0,0
2014,1,3,23,30,0,0,0,0,0,0
2014,1,4,0,0,0,0,0,0,0,0
2014,1,4,0,30,0,0,0,0,0,0
2014,1,4,1,0,0,0,0,0,0,0
2014,1,4,1,30,0,0,0,0,0,0
2014,1,4,2,0,0,0,0,0,0,0
2014,1,4,2,30,0,0,0,0,0,0
2014,1,4,3,0,0,0,0,0,0,0
2014,1,4,3,30,0,0,0,0,0,0
2014,1,4,4,0,0,0,0,0,0,0
2014,1,4,4,30,0,0,0,0,0,0
2014,1,4,5,0,0,0,0,0,0,0
2014,1,4,5,30,0,0,0,0,0,0
2014,1,4,6,0,0,0,0,0,0,0
2014,1,4,6,30,0,0,0,0,0,0
2014,1,4,7,0,0,0,0,0,0,0
2014,1,4,7,30,11,129,15,11,129,15
2014,1,4,8,0,38,371,78,38,371,78
2014,1,4,8,30,51,556,151,33,0,33
2014,1,4,9,0,60,663,222,60,663,222
2014,1,4,9,30,66,732,286,66,732,286
2014,1,4,10,0,71,779,341,71,779,341
2014,1,4,10,30,75,810,385,75,810,385
2014,1,4,11,0,77,831,415,77,831,415
2014,1,4,11,30,78,842,432,78,842,432
2014,1,4,12,0,78,845,435,78,845,435
2014,1,4,12,30,77,838,423,77,838,423
2014,1,4,13,0,75,823,397,75,823,397
2014,1,4,13,30,71,798,357,71,798,357
2014,1,4,14,0,66,762,306,66,762,306
2014,1,4,14,30,59,711,245,59,711,245
2014,1,4,15,0,48,643,177,48,643,177
2014,1,4,15,30,30,592,107,30,592,107
2014,1,4,16,0,0,0,0,0,0,0
2014,1,4,16,30,0,0,0,0,0,0
2014,1,4,17,0,0,0,0,0,0,0
2014,1,4,17,30,0,0,0,0,0,0
2014,1,4,18,0,0,0,0,0,0,0
2014,1,4,18,30,0,0,0,0,0,0
2014,1,4,19,0,0,0,0,0,0,0
2014,1,4,19,30,0,0,0,0,0,0
2014,1,4,20,0,0,0,0,0,0,0
2014,1,4,20,30,0,0,0,0,0,0
2014,1,4,21,0,0,0,0,0,0,0
2014,1,4,21,30,0,0,0,0,0,0
2014,1,4,22,0,0,0,0,0,0,0
2014,1,4,22,30,0,0,0,0,0,0
2014,1,4,23,0,0,0,0,0,0,0
2014,1,4,23,30,0,0,0,0,0,0
2014,1,5,0,0,0,0,0,0,0,0
2014,1,5,0,30,0,0,0,0,0,0
2014,1,5,1,0,0,0,0,0,0,0
2014,1,5,1,30,0,0,0,0,0,0
2014,1,5,2,0,0,0,0,0,0,0
2014,1,5,2,30,0,0,0,0,0,0
2014,1,5,3,0,0,0,0,0,0,0
2014,1,5,3,30,0,0,0,0,0,0
2014,1,5,4,0,0,0,0,0,0,0
2014,1,5,4,30,0,0,0,0,0,0
2014,1,5,5,0,0,0,0,0,0,0
2014,1,5,5,30,0,0,0,0,0,0
2014,1,5,6,0,0,0,0,0,0,0
2014,1,5,6,30,0,0,0,0,0,0
2014,1,5,7,0,0,0,0,0,0,0
2014,1,5,7,30,12,131,16,12,131,16
2014,1,5,8,0,38,372,79,38,372,79
2014,1,5,8,30,51,556,151,51,556,151
2014,1,5,9,0,60,661,222,60,661,222
2014,1,5,9,30,66,727,285,66,727,285
2014,1,5,10,0,71,771,339,145,151,197
2014,1,5,10,30,75,799,381,162,188,234
2014,1,5,11,0,77,816,410,151,15,157
2014,1,5,11,30,78,823,425,154,12,160
2014,1,5,12,0,78,823,426,164,25,175
2014,1,5,12,30,77,814,414,77,814,414
2014,1,5,13,0,74,798,388,74,798,388
2014,1,5,13,30,71,772,349,147,53,166
2014,1,5,14,0,66,734,299,117,7,119
2014,1,5,14,30,58,682,239,84,0,84
2014,1,5,15,0,48,612,173,36,0,36
2014,1,5,15,30,31,550,104,21,0,21
2014,1,5,16,0,0,0,0,0,0,0
2014,1,5,16,30,0,0,0,0,0,0
2014,1,5,17,0,0,0,0,0,0,0
2014,1,5,17,30,0,0,0,0,0,0
2014,1,5,18,0,0,0,0,0,0,0
2014,1,5,18,30,0,0,0,0,0,0
2014,1,5,19,0,0,0,0,0,0,0
2014,1,5,19,30,0,0,0,0,0,0
2014,1,5,20,0,0,0,0,0,0,0
2014,1,5,20,30,0,0,0,0,0,0
2014,1,5,21,0,0,0,0,0,0,0
2014,1,5,21,30,0,0,0,0,0,0
2014,1,5,22,0,0,0,0,0,0,0
2014,1,5,22,30,0,0,0,0,0,0
2014,1,5,23,0,0,0,0,0,0,0
2014,1,5,23,30,0,0,0,0,0,0
2014,1,6,0,0,0,0,0,0,0,0
2014,1,6,0,30,0,0,0,0,0,0
2014,1,6,1,0,0,0,0,0,0,0
2014,1,6,1,30,0,0,0,0,0,0
2014,1,6,2,0,0,0,0,0,0,0
2014,1,6,2,30,0,0,0,0,0,0
2014,1,6,3,0,0,0,0,0,0,0
2014,1,6,3,30,0,0,0,0,0,0
