"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
9,"California",1,162800,162700,162200,161900,161700,161600,161500,161800,162000,162400,163200,164000,164200,164100,164300,164700,165000,165700,166600,167500,168700,170400,172500,172200,172000,174000,176900,178100,179500,180500,181900,183200,184500,185800,187100,188600,190200,191500,193200,195000,196700,198500,200700,202700,205000,207800,210800,213900,216700,219200,221500,224000,226400,228700,230900,233500,236000,238500,241300,244200,246700,249000,250900,253000,255300,257700,259800,262000,264600,267600,270500,273700,277300,280900,284600,288800,293500,298500,303300,308000,312600,317200,321500,325900,330300,334500,338500,342900,347900,353300,359100,365600,372200,379000,386400,394500,403300,412800,423000,433200,442600,450500,457800,464400,470500,476400,482400,488900,495500,502000,508500,515400,522400,528800,534300,539400,543200,545400,547000,548700,549600,549600,549200,548100,545900,543200,540400,537500,534400,531900,529900,527400,524300,520800,516200,510900,505400,499700,494000,487800,480200,471400,461500,450800,439900,429700,419900,410100,400600,391700,383200,374900,369000,365900,363100,359200,355300,351600,348200,345900,344400,343500,343200,343400,343500,343300,342900,342800,342900,342700,342100,340600,339100,337600,336200,334600,332800,330600,328400,325800,323100,320700,318700,316800,315200,314000,313200,313100,313200,313200,313600,314500,315800,317400,319700,322400,325200,328100,331200,334300,338000,342200,347100,353200,360000,366900,374200,381800,388800,394900,400400,405600,409700,412500,414700,417800,421700,425200,427500,428900,430100,431400,432700,434200,435400,436700,439100,442100,444100,445500,447100,449500,452200,454800,457100,459600,462200,464500
54,"Texas",2,,,,,,,,,,,82000,82300,82600,82900,83500,84300,84900,85200,85300,85100,85200,85700,86100,86300,86600,86800,87000,87200,87500,88000,88400,88400,88400,88800,89400,90100,90800,91600,92300,92800,93300,94000,94800,95000,95000,95100,95200,95400,95900,96100,96200,96400,96800,97400,97800,98100,98200,98100,98200,98400,98600,98900,99300,99800,100200,100400,100500,100600,100800,101200,101700,102000,102300,102800,103300,103700,104200,104700,105400,105900,106100,106400,106600,106800,107000,107400,107800,108300,108600,108600,108600,108700,109200,110200,111700,113200,114500,115500,116400,117200,117800,118600,119200,119500,119900,120700,121200,121700,122100,122500,122800,123000,123200,123600,123900,124300,124800,125200,125800,126600,127200,127500,127900,128600,129000,129500,130100,130800,131200,131500,131600,132000,132600,133100,133500,134000,134200,134300,134500,134900,134900,134100,132700,131300,129900,128600,127600,127100,127300,127800,128400,129000,129700,130400,131300,132100,132700,133200,133500,133700,133700,133700,133500,133300,133000,133000,133100,133400,133400,133400,133400,133200,132700,132100,131600,131100,130700,130700,129600,127900,128000,129100,129400,129600,130400,130700,130400,129800,129800,129900,130500,131300,131600,131500,131600,131900,132000,131900,131900,132200,132500,132500,133200,134500,135500,136300,137100,137400,137500,138100,139000,139200,139200,139500,140200,140300,139100,137700,137300,137300,137500,137900,138700,139600,140800,141900,143000,144300,145900,147200,148300,149400,150200,150600,151100,151700,152300,152800
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315600,314800,313900,312700,311100,309400,307600,305900,304300,302400,300000,298100,296500,294700,292500,292200,282300,266400,258100,258400,256900,255800,254500,252900,251700,250900,250400,249800,248800,247900,247000,246300,245700,245200,244300,243300,242200,241200,240200,239300,238500,237600,236600,235600,234600,233700,232800,231800,230900,230200,229500,228700,228300,227700,226700,225800,225200,224700,224500,224500,224600,224800,224900,225000,225200,225300,225300,225200,225300,225700,226500,227400,228100,228600,229300,230100,231200,232200,232700,233300,234400,235300,235800,236200,236200,235900,235800,236000,236800,237800,238400,238800,238900,238700,238400,238400,238600,238500,237900,237100,236900,237200
14,"Florida",4,92800,92900,93000,93000,92900,92900,93000,93200,93400,93600,94000,94300,94800,95100,95200,95500,95900,96400,96800,97200,97700,98300,99000,99400,99600,99800,100100,100200,100300,100600,101100,101600,102100,102600,103200,103900,104500,105000,105500,106000,106500,107200,107900,108300,109000,109800,110800,111700,112300,112900,113600,114300,115000,115700,116400,117200,118000,118900,119700,120400,121200,122200,123000,124000,125100,126000,126800,127600,128500,129500,130400,131400,132500,133500,134600,135700,136700,137700,139000,140200,141400,142800,144200,145500,146800,148000,149300,150700,152100,153500,155100,157000,158900,160700,162700,164800,167000,169600,172600,175600,178700,182000,185400,188800,192400,196000,200100,204700,210000,215600,221500,227400,233300,238900,244100,249000,253300,256500,259300,262300,264800,266200,266700,266800,266600,266100,264900,263300,261500,259500,257400,255100,252800,250300,247500,244400,241400,238200,235000,232100,228700,224600,220200,215800,211400,207200,203200,199500,195500,191500,187900,183800,180500,179100,178000,175500,172400,169600,167300,165200,163500,162000,160700,159700,158700,157500,156300,155200,154200,153300,152300,151100,149900,148600,147400,146300,145000,143600,142400,141500,140600,139600,138600,137700,136900,136200,135800,135600,135700,135800,135900,136300,136800,137500,138400,139200,140000,141100,142000,143000,144000,144800,145900,147400,148800,150200,151700,153500,155200,157200,159300,161100,162900,164300,165200,166500,168800,170900,172200,173200,174300,175300,176100,177000,177800,178600,179800,180900,182200,183600,185200,186800,188500,189800,190900,192100,193500,194800
21,"Illinois",5,116000,116400,116500,115900,115000,114700,114800,114900,115400,116700,117400,117400,117300,117200,117400,117700,117900,118300,118800,119000,119100,119300,119600,119700,119800,120100,120300,120400,120700,121300,121700,122200,122500,122900,123400,123900,124500,125200,125700,126200,126600,127100,127700,128500,129000,129400,130000,130700,131300,131900,132400,132800,133000,133600,134700,135500,136000,136700,137400,138100,139100,139700,140300,141100,141800,142600,143700,144500,145000,145600,146200,147000,147600,148200,149100,149900,150300,150900,151900,153000,154000,154900,155900,156900,157900,159200,160700,162000,162800,163400,164000,164900,165700,166600,167500,168400,169600,170400,170800,172600,175700,176900,176200,176500,177900,179300,180600,181800,182800,183700,184500,185500,186100,186900,188500,190200,191300,192400,193400,194100,194800,195700,196600,196800,198400,200200,200400,199500,199800,200000,200200,200400,200300,200500,200700,200000,198600,198000,197900,197500,196600,195900,194900,193800,192900,191900,190900,190100,188900,187700,186500,185200,183700,182300,180600,179300,178100,176800,175300,174100,172800,171800,171300,171000,170300,169500,168600,167800,166900,166200,165300,164200,162900,161400,160300,159100,157900,156900,156100,155100,153800,152300,150800,149400,148400,147100,146000,145400,144900,144300,143600,142900,142600,142300,142400,142700,142700,142400,142200,142100,142200,142400,142800,143200,143600,144200,145200,146300,147600,148700,149600,150500,151400,152300,152800,153300,154100,154800,155200,155400,155700,156100,156700,156900,156600,156100,156000,156200,156200,156100,156200,156400,156300,156300,156600,156900,157000,157000
47,"Pennsylvania",6,89500,89600,89800,89900,90000,90000,89900,89900,90100,90100,90200,90500,90600,90800,90800,90900,91000,91300,91400,91700,91800,92200,92500,92900,93200,93400,93500,93600,93700,93900,94300,94800,95400,95900,96100,96400,96600,96700,96900,97100,97300,97500,97800,98000,98200,98500,99200,99600,99900,100200,100700,101400,101700,101900,102200,102700,103100,103300,103800,104500,105100,105600,106000,106400,106800,107500,108100,108500,108900,109500,110200,110800,111500,112000,112600,113200,113900,114600,115100,115700,116600,117300,117900,118700,119500,120200,121100,122000,122900,123900,124900,125700,126700,127700,128500,129100,129800,130600,131700,132700,133700,134500,135500,136500,137300,138300,139400,140300,141300,142400,143400,144500,145800,147000,148300,149500,150500,151300,151900,152600,153400,154300,155000,155700,156400,157100,157800,158200,158300,158500,159000,159500,160100,160600,161000,161200,161200,161200,161400,161400,161100,160800,160400,160200,160000,159800,159900,159900,159700,159600,159200,158800,159200,160200,161100,161500,161600,161400,161000,160700,160500,160300,160200,160100,160000,159800,159400,159100,159000,158900,158400,157800,157400,157100,156600,155800,155200,154600,154000,153500,153000,152700,152300,151900,151400,151100,150900,150900,150700,150200,149900,150100,150000,149700,149900,150100,150000,149800,149700,149700,149600,149300,149300,149500,149900,150200,150600,151000,151500,152100,152700,153600,154800,155800,156300,156400,156300,156200,156200,156300,156300,156300,156200,156100,155800,155600,155700,155700,155900,156200,156200,156300,156600,156900,156800,156800,157000,157000
44,"Ohio",7,89100,89300,89400,89600,89700,89800,89900,90100,90400,90600,91000,91300,91600,91800,92200,92500,92700,93000,93400,93700,94100,94600,94900,95300,95600,95900,96000,96200,96700,97000,97200,97700,98200,98500,99000,99500,99900,100300,100800,101200,101700,102200,102500,102800,103100,103700,104300,104800,105100,105600,106100,106400,106800,107300,107600,107900,108200,108700,109000,109200,109500,109700,110000,110500,110900,111100,111400,111700,112100,112300,112500,112800,113100,113500,113900,114000,114400,114700,114900,115200,115600,115900,116200,116500,116900,117400,117900,118300,118700,119100,119600,120100,120500,120900,121200,121400,121600,121800,122200,122500,122600,123000,123500,123700,123800,124200,124500,124900,125300,125500,125500,125700,125900,126000,126200,126400,126600,126500,126600,126900,126800,126600,126400,126300,126200,126100,126000,125900,125700,125600,125500,125300,125100,125100,124800,124400,124000,123500,122900,122400,122100,121500,120700,120000,119400,118900,118400,118000,117600,117200,116800,116300,116000,116000,115900,115500,115300,115000,114800,114900,114700,114600,114500,114500,114400,114300,114300,114200,114000,113700,113600,113400,113100,112800,112300,111700,111100,110500,109800,109300,108900,108500,108200,107900,107600,107400,107200,107000,106800,106700,106600,106600,106700,107000,107100,107000,107100,107300,107500,107400,107400,107300,107500,107700,107900,108300,108900,109600,110100,110600,111000,111800,112600,113200,113800,114500,114900,115100,115200,115600,115800,115900,116200,116700,116700,116900,117400,117800,118100,118400,118600,118700,118900,119200,119400,119700,120100,120600
30,"Michigan",8,87300,86600,86600,87500,87300,86300,86000,86500,86700,86600,86400,86500,87200,87900,88300,88700,89100,89600,90200,91000,91800,92400,92600,92500,92900,93700,94300,94500,95100,96100,96900,97300,97900,98900,100200,101200,102200,103200,104000,104800,106000,106900,107600,108100,108600,109400,110200,111000,111900,112600,113300,113800,114200,114800,115300,115800,116600,117300,118200,119100,119600,120000,120900,121600,122100,122500,122700,123000,123200,123400,123600,123800,124200,124500,124900,125600,126300,126800,127500,128200,128800,129300,129800,130300,130600,130900,131100,131300,131600,132000,132400,132800,133100,133600,134100,134100,134100,134600,135000,135100,135500,136200,136600,136900,137200,137400,137600,138100,138500,138800,138900,139000,139100,139200,139400,139600,139400,139000,138700,138600,138300,137900,137600,137300,136800,136200,135700,135600,135300,134700,134100,133600,133000,132300,131400,130600,129900,129100,128300,127500,126100,124400,122700,121100,119700,118300,116700,115200,113900,112700,111000,108900,108000,108200,108200,107500,106700,106000,105300,104500,103700,103000,102400,102000,101500,101100,100800,100600,100500,100300,100200,99900,99500,99100,98600,98100,97600,96600,95700,95300,94800,94200,93800,93400,93000,92800,92600,92600,92600,92700,92900,93000,93500,94500,95600,96600,97500,98300,99100,100000,100600,101500,102700,103800,105000,106500,107800,108900,110200,111100,111700,112600,113800,114700,115500,115500,114600,113600,113300,113300,113400,113700,114100,114700,115000,114900,114800,115200,115700,116200,116500,116900,117300,117600,117800,118000,118200,118300
16,"Georgia",9,93300,93800,94100,93900,93800,94100,94600,94800,94900,95300,95600,95900,96200,96600,97000,97600,98100,98400,98800,99400,99900,100500,101300,102100,102500,102600,103100,104000,104900,105600,106100,106500,107000,107900,108500,108900,109400,110200,110900,111600,112300,112900,113500,114100,114700,115500,116700,117400,117900,118500,119300,119900,120500,121200,122100,122700,123100,123500,124300,124900,125600,126200,126900,127200,127300,127700,128100,128500,129100,129600,130000,130500,130900,131400,131700,132000,132600,133000,133200,133600,133900,134000,134300,134800,135200,135700,136000,136200,136700,137100,137300,137700,138500,139000,139300,139700,140000,140100,140400,140900,141400,141900,142500,143100,143700,144300,144900,145500,146100,146600,147200,148000,148700,149100,149800,150700,151500,151800,152000,152500,153200,153700,154100,154500,154900,155400,155800,156100,156000,155500,155100,155100,155200,155300,155400,155400,155200,155000,154900,154500,154000,153400,152600,151600,150600,149800,148900,147900,146900,145500,144000,142400,141400,141600,141900,141500,140800,139900,139200,138600,138000,137400,136900,136200,135600,135100,134700,134100,133600,133000,132200,131100,130000,129200,128200,127100,126100,125100,124200,123300,122300,121000,119800,118800,117900,117100,116600,116400,116000,115600,115100,114600,114300,114300,114300,114500,114600,114500,114300,114500,114800,115200,115700,116300,116700,117300,118400,119700,121000,122300,123700,125100,126200,127100,127700,128500,129800,131200,132300,133200,134100,135000,135800,136500,136900,136700,137000,137800,138300,138800,139300,139900,140300,140900,141500,142200,143000,143600
36,"North Carolina",10,92900,93400,93700,93900,94300,94500,94700,94900,95200,95600,96200,96700,97200,97800,98200,98800,99500,100100,100500,100900,101400,102000,102900,103800,104500,104900,105500,106000,106600,107000,107600,108300,108800,109100,109500,110100,110500,110800,111500,112100,112300,112600,113000,113200,113500,114100,114600,115000,115300,115800,116100,116300,116500,117100,117700,118100,118200,118900,119400,119600,119700,119800,119700,119800,120100,120300,120500,120700,121000,121300,121300,121500,121700,122000,122300,122700,123000,123100,123100,123500,124000,124200,124400,124700,125000,125400,125900,126100,126200,126300,126700,127100,127300,127600,128000,128400,128800,129200,129500,130000,130600,131100,131600,132200,132900,133400,133800,134200,134700,135300,136000,136800,137400,138200,138900,139700,140500,141200,141800,142200,142700,143400,143800,144300,144900,145700,146200,146600,146900,147500,147900,148300,148900,149200,149600,150000,150600,151000,151100,150800,150700,150600,150600,150600,150700,150700,150600,150500,150300,150000,149600,149100,149000,149400,149800,149600,149600,149400,149200,148800,148500,148100,147800,147900,147700,147100,146700,146500,146100,145600,145200,144800,144200,143700,143100,142800,142200,141600,141000,140600,140200,140000,139700,139400,139100,138800,138600,138600,138500,138600,138600,138600,138500,138400,138500,138700,138900,139200,139400,139400,139600,139700,139700,139700,139800,139900,140400,141000,141500,141900,142600,143200,143700,144100,144500,144700,145000,145300,145400,145400,145400,145300,145600,145700,145600,145600,146000,146600,147100,147400,147800,148100,148300,148700,149000,149300,149500,149800
